case,activity,resource,timestamp,Org,Project,Task,Role
Case 3248,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/22 15:46:56.000,organizational unit 65456,project 147546,UNKNOWN,ADMINISTRATION,
Case 3248,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/05/24 09:39:48.000,organizational unit 65456,project 147546,UNKNOWN,SUPERVISOR,
Case 3248,Request Payment,SYSTEM,2018/05/25 12:49:41.000,organizational unit 65456,project 147546,UNKNOWN,UNDEFINED,
Case 3248,Payment Handled,SYSTEM,2018/05/28 17:30:59.000,organizational unit 65456,project 147546,UNKNOWN,UNDEFINED,
Case 57,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/01/31 15:03:12.000,organizational unit 65463,project 147556,UNKNOWN,EMPLOYEE,
Case 57,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/01/31 15:03:23.000,organizational unit 65463,project 147556,UNKNOWN,SUPERVISOR,
Case 57,Request Payment,SYSTEM,2017/02/06 08:20:15.000,organizational unit 65463,project 147556,UNKNOWN,UNDEFINED,
Case 57,Payment Handled,SYSTEM,2017/02/09 17:32:18.000,organizational unit 65463,project 147556,UNKNOWN,UNDEFINED,
Case 2285,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/14 13:55:20.000,organizational unit 65473,project 147556,UNKNOWN,EMPLOYEE,
Case 2285,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/14 13:56:40.000,organizational unit 65473,project 147556,UNKNOWN,ADMINISTRATION,
Case 2285,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/15 11:22:46.000,organizational unit 65473,project 147556,UNKNOWN,SUPERVISOR,
Case 2285,Request Payment,SYSTEM,2018/03/26 11:04:29.000,organizational unit 65473,project 147556,UNKNOWN,UNDEFINED,
Case 2285,Payment Handled,SYSTEM,2018/03/29 17:31:11.000,organizational unit 65473,project 147556,UNKNOWN,UNDEFINED,
Case 4346,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/07/26 14:47:47.000,organizational unit 65463,project 503,task 53675,EMPLOYEE,
Case 4346,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/07/26 15:11:15.000,organizational unit 65463,project 503,task 53675,ADMINISTRATION,
Case 4346,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/07/27 08:53:15.000,organizational unit 65463,project 503,task 53675,EMPLOYEE,
Case 4346,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/27 15:36:25.000,organizational unit 65463,project 503,task 53675,EMPLOYEE,
Case 4346,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/29 10:39:36.000,organizational unit 65463,project 503,task 53675,ADMINISTRATION,
Case 4346,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/29 11:14:31.000,organizational unit 65463,project 503,task 53675,SUPERVISOR,
Case 4346,Request Payment,SYSTEM,2018/08/29 16:05:48.000,organizational unit 65463,project 503,task 53675,UNDEFINED,
Case 4346,Payment Handled,SYSTEM,2018/09/03 17:31:14.000,organizational unit 65463,project 503,task 53675,UNDEFINED,
Case 1497,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/29 08:49:24.000,organizational unit 65465,project 147582,task 153181,EMPLOYEE,
Case 1497,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/29 08:49:36.000,organizational unit 65465,project 147582,task 153181,ADMINISTRATION,
Case 1497,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/29 16:23:47.000,organizational unit 65465,project 147582,task 153181,BUDGET OWNER,
Case 1497,Request For Payment REJECTED by SUPERVISOR,STAFF MEMBER,2018/01/30 08:35:30.000,organizational unit 65465,project 147582,task 153181,SUPERVISOR,
Case 1497,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/01/30 15:16:59.000,organizational unit 65465,project 147582,task 153181,EMPLOYEE,
Case 351,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/05/22 22:48:45.000,organizational unit 65458,project 147531,UNKNOWN,EMPLOYEE,
Case 351,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/05/22 22:50:02.000,organizational unit 65458,project 147531,UNKNOWN,PRE_APPROVER,
Case 351,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/05/23 13:23:40.000,organizational unit 65458,project 147531,UNKNOWN,SUPERVISOR,
Case 351,Request Payment,SYSTEM,2017/05/29 11:50:13.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED,
Case 351,Payment Handled,SYSTEM,2017/06/01 17:30:57.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED,
Case 3996,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/07/03 15:25:29.000,organizational unit 65477,project 147546,UNKNOWN,EMPLOYEE,
Case 3996,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/07/03 15:25:38.000,organizational unit 65477,project 147546,UNKNOWN,ADMINISTRATION,
Case 3996,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/07/09 16:14:43.000,organizational unit 65477,project 147546,UNKNOWN,SUPERVISOR,
Case 3996,Request Payment,SYSTEM,2018/07/10 10:46:39.000,organizational unit 65477,project 147546,UNKNOWN,UNDEFINED,
Case 3996,Payment Handled,SYSTEM,2018/07/12 17:31:21.000,organizational unit 65477,project 147546,UNKNOWN,UNDEFINED,
Case 391,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/06/09 11:00:35.000,organizational unit 65458,project 503,UNKNOWN,EMPLOYEE,
Case 391,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/06/09 11:06:03.000,organizational unit 65458,project 503,UNKNOWN,PRE_APPROVER,
Case 391,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/06/12 08:58:45.000,organizational unit 65458,project 503,UNKNOWN,SUPERVISOR,
Case 391,Request Payment,SYSTEM,2017/06/13 13:40:43.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED,
Case 391,Payment Handled,SYSTEM,2017/06/15 17:31:12.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED,
Case 87,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/02/14 15:34:34.000,organizational unit 65458,project 147531,UNKNOWN,EMPLOYEE,
Case 87,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/02/14 15:34:43.000,organizational unit 65458,project 147531,UNKNOWN,SUPERVISOR,
Case 87,Request Payment,SYSTEM,2017/02/15 14:48:02.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED,
Case 87,Payment Handled,SYSTEM,2017/02/20 17:32:08.000,organizational unit 65458,project 147531,UNKNOWN,UNDEFINED,
Case 4276,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/07/19 08:31:14.000,organizational unit 65462,project 148052,UNKNOWN,EMPLOYEE,
Case 4276,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/07/19 08:31:25.000,organizational unit 65462,project 148052,UNKNOWN,ADMINISTRATION,
Case 4276,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/07/24 08:39:52.000,organizational unit 65462,project 148052,UNKNOWN,BUDGET OWNER,
Case 4276,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/07/24 13:51:55.000,organizational unit 65462,project 148052,UNKNOWN,SUPERVISOR,
Case 4276,Request Payment,SYSTEM,2018/07/31 12:04:56.000,organizational unit 65462,project 148052,UNKNOWN,UNDEFINED,
Case 4276,Payment Handled,SYSTEM,2018/08/02 17:31:28.000,organizational unit 65462,project 148052,UNKNOWN,UNDEFINED,
Case 5891,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/08 15:00:32.000,organizational unit 65461,project 147556,UNKNOWN,EMPLOYEE,
Case 5891,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/08 15:02:19.000,organizational unit 65461,project 147556,UNKNOWN,ADMINISTRATION,
Case 5891,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/14 11:09:18.000,organizational unit 65461,project 147556,UNKNOWN,SUPERVISOR,
Case 5891,Request Payment,SYSTEM,2018/11/14 12:44:58.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 5891,Payment Handled,SYSTEM,2018/11/15 17:31:20.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 6845,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/21 11:15:20.000,organizational unit 65469,project 147546,UNKNOWN,EMPLOYEE,
Case 6845,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/21 11:15:22.000,organizational unit 65469,project 147546,UNKNOWN,ADMINISTRATION,
Case 6845,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2019/01/02 11:35:28.000,organizational unit 65469,project 147546,UNKNOWN,SUPERVISOR,
Case 6845,Request Payment,SYSTEM,2019/01/03 10:31:38.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED,
Case 6845,Payment Handled,SYSTEM,2019/01/07 17:31:13.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED,
Case 5587,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/24 11:33:14.000,organizational unit 65454,project 147843,UNKNOWN,EMPLOYEE,
Case 5587,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/24 11:33:45.000,organizational unit 65454,project 147843,UNKNOWN,ADMINISTRATION,
Case 5587,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/30 08:51:47.000,organizational unit 65454,project 147843,UNKNOWN,SUPERVISOR,
Case 5587,Request Payment,SYSTEM,2018/10/31 23:09:04.000,organizational unit 65454,project 147843,UNKNOWN,UNDEFINED,
Case 5587,Payment Handled,SYSTEM,2018/11/05 17:31:19.000,organizational unit 65454,project 147843,UNKNOWN,UNDEFINED,
Case 2876,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/20 16:49:35.000,organizational unit 65462,project 147556,UNKNOWN,EMPLOYEE,
Case 2876,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/04/20 16:49:48.000,organizational unit 65462,project 147556,UNKNOWN,ADMINISTRATION,
Case 2876,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/23 16:40:53.000,organizational unit 65462,project 147556,UNKNOWN,EMPLOYEE,
Case 2876,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/26 11:09:39.000,organizational unit 65462,project 147556,UNKNOWN,EMPLOYEE,
Case 2876,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/26 11:10:39.000,organizational unit 65462,project 147556,UNKNOWN,ADMINISTRATION,
Case 2876,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/26 14:20:09.000,organizational unit 65462,project 147556,UNKNOWN,SUPERVISOR,
Case 2876,Request Payment,SYSTEM,2018/09/28 08:01:46.000,organizational unit 65462,project 147556,UNKNOWN,UNDEFINED,
Case 2876,Payment Handled,SYSTEM,2018/10/01 17:31:15.000,organizational unit 65462,project 147556,UNKNOWN,UNDEFINED,
Case 6650,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/14 11:25:39.000,organizational unit 65469,project 147582,UNKNOWN,EMPLOYEE,
Case 6650,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/14 11:25:48.000,organizational unit 65469,project 147582,UNKNOWN,ADMINISTRATION,
Case 6650,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/17 09:26:36.000,organizational unit 65469,project 147582,UNKNOWN,SUPERVISOR,
Case 6650,Request Payment,SYSTEM,2019/01/04 17:36:51.000,organizational unit 65469,project 147582,UNKNOWN,UNDEFINED,
Case 6650,Payment Handled,SYSTEM,2019/01/10 17:31:09.000,organizational unit 65469,project 147582,UNKNOWN,UNDEFINED,
Case 3434,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/02 14:28:23.000,organizational unit 65461,project 147546,UNKNOWN,EMPLOYEE,
Case 3434,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/02 14:30:18.000,organizational unit 65461,project 147546,UNKNOWN,ADMINISTRATION,
Case 3434,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/04 15:20:23.000,organizational unit 65461,project 147546,UNKNOWN,SUPERVISOR,
Case 3434,Request Payment,SYSTEM,2018/06/05 08:57:30.000,organizational unit 65461,project 147546,UNKNOWN,UNDEFINED,
Case 3434,Payment Handled,SYSTEM,2018/06/07 17:31:38.000,organizational unit 65461,project 147546,UNKNOWN,UNDEFINED,
Case 139,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/03/03 15:44:09.000,organizational unit 65463,project 147556,task 147557,EMPLOYEE,
Case 139,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/03/03 15:44:28.000,organizational unit 65463,project 147556,task 147557,PRE_APPROVER,
Case 139,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/03/06 14:38:50.000,organizational unit 65463,project 147556,task 147557,SUPERVISOR,
Case 139,Request Payment,SYSTEM,2017/03/07 10:30:28.000,organizational unit 65463,project 147556,task 147557,UNDEFINED,
Case 139,Payment Handled,SYSTEM,2017/03/09 17:31:22.000,organizational unit 65463,project 147556,task 147557,UNDEFINED,
Case 5253,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/04 16:30:29.000,organizational unit 65482,project 147620,UNKNOWN,EMPLOYEE,
Case 5253,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/04 16:33:44.000,organizational unit 65482,project 147620,UNKNOWN,ADMINISTRATION,
Case 5253,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/08 14:32:22.000,organizational unit 65482,project 147620,UNKNOWN,SUPERVISOR,
Case 5253,Request Payment,SYSTEM,2018/10/09 08:53:47.000,organizational unit 65482,project 147620,UNKNOWN,UNDEFINED,
Case 5253,Payment Handled,SYSTEM,2018/10/11 17:31:08.000,organizational unit 65482,project 147620,UNKNOWN,UNDEFINED,
Case 4561,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/23 13:19:48.000,organizational unit 65482,project 147582,UNKNOWN,EMPLOYEE,
Case 4561,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/23 13:19:52.000,organizational unit 65482,project 147582,UNKNOWN,ADMINISTRATION,
Case 4561,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/08/24 17:31:47.000,organizational unit 65482,project 147582,UNKNOWN,BUDGET OWNER,
Case 4561,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/29 14:03:53.000,organizational unit 65482,project 147582,UNKNOWN,SUPERVISOR,
Case 4561,Request Payment,SYSTEM,2018/08/30 12:33:52.000,organizational unit 65482,project 147582,UNKNOWN,UNDEFINED,
Case 4561,Payment Handled,SYSTEM,2018/09/03 17:31:14.000,organizational unit 65482,project 147582,UNKNOWN,UNDEFINED,
Case 3822,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/26 09:18:10.000,organizational unit 65465,project 150130,UNKNOWN,EMPLOYEE,
Case 3822,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/26 09:18:13.000,organizational unit 65465,project 150130,UNKNOWN,ADMINISTRATION,
Case 3822,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/28 15:50:06.000,organizational unit 65465,project 150130,UNKNOWN,SUPERVISOR,
Case 3822,Request Payment,SYSTEM,2018/07/03 09:31:25.000,organizational unit 65465,project 150130,UNKNOWN,UNDEFINED,
Case 3822,Payment Handled,SYSTEM,2018/07/05 17:31:35.000,organizational unit 65465,project 150130,UNKNOWN,UNDEFINED,
Case 259,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/04/20 09:28:35.000,organizational unit 65463,project 147572,UNKNOWN,EMPLOYEE,
Case 259,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/04/20 09:29:18.000,organizational unit 65463,project 147572,UNKNOWN,PRE_APPROVER,
Case 259,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/04/20 09:33:41.000,organizational unit 65463,project 147572,UNKNOWN,SUPERVISOR,
Case 259,Request Payment,SYSTEM,2017/04/24 08:44:08.000,organizational unit 65463,project 147572,UNKNOWN,UNDEFINED,
Case 259,Payment Handled,SYSTEM,2017/05/01 17:31:05.000,organizational unit 65463,project 147572,UNKNOWN,UNDEFINED,
Case 656,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/15 15:59:36.000,organizational unit 65458,project 147546,task 151942,EMPLOYEE,
Case 656,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/15 15:59:39.000,organizational unit 65458,project 147546,task 151942,SUPERVISOR,
Case 656,Request Payment,SYSTEM,2017/09/28 12:25:36.000,organizational unit 65458,project 147546,task 151942,UNDEFINED,
Case 656,Payment Handled,SYSTEM,2017/10/02 17:30:51.000,organizational unit 65458,project 147546,task 151942,UNDEFINED,
Case 2879,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/21 17:16:18.000,organizational unit 65469,project 147556,UNKNOWN,EMPLOYEE,
Case 2879,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/21 17:16:27.000,organizational unit 65469,project 147556,UNKNOWN,ADMINISTRATION,
Case 2879,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/23 11:01:16.000,organizational unit 65469,project 147556,UNKNOWN,SUPERVISOR,
Case 2879,Request Payment,SYSTEM,2018/05/01 12:48:53.000,organizational unit 65469,project 147556,UNKNOWN,UNDEFINED,
Case 2879,Payment Handled,SYSTEM,2018/05/03 17:31:17.000,organizational unit 65469,project 147556,UNKNOWN,UNDEFINED,
Case 3340,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/28 11:20:57.000,organizational unit 65469,project 149268,UNKNOWN,EMPLOYEE,
Case 3340,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/28 11:21:41.000,organizational unit 65469,project 149268,UNKNOWN,ADMINISTRATION,
Case 3340,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/05/28 12:38:47.000,organizational unit 65469,project 149268,UNKNOWN,SUPERVISOR,
Case 3340,Request Payment,SYSTEM,2018/05/31 14:03:02.000,organizational unit 65469,project 149268,UNKNOWN,UNDEFINED,
Case 3340,Payment Handled,SYSTEM,2018/06/04 17:31:15.000,organizational unit 65469,project 149268,UNKNOWN,UNDEFINED,
Case 1141,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/08 14:28:57.000,organizational unit 65469,project 147546,UNKNOWN,EMPLOYEE,
Case 1141,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/08 14:34:20.000,organizational unit 65469,project 147546,UNKNOWN,ADMINISTRATION,
Case 1141,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/10 09:27:06.000,organizational unit 65469,project 147546,UNKNOWN,SUPERVISOR,
Case 1141,Request Payment,SYSTEM,2018/01/11 07:11:36.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED,
Case 1141,Payment Handled,SYSTEM,2018/01/15 17:31:33.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED,
Case 2042,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/28 19:19:32.000,organizational unit 65466,project 147620,UNKNOWN,EMPLOYEE,
Case 2042,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/28 19:19:46.000,organizational unit 65466,project 147620,UNKNOWN,ADMINISTRATION,
Case 2042,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/03/02 11:05:26.000,organizational unit 65466,project 147620,UNKNOWN,BUDGET OWNER,
Case 2042,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/02 16:51:06.000,organizational unit 65466,project 147620,UNKNOWN,SUPERVISOR,
Case 2042,Request Payment,SYSTEM,2018/03/06 09:01:17.000,organizational unit 65466,project 147620,UNKNOWN,UNDEFINED,
Case 2042,Payment Handled,SYSTEM,2018/03/08 17:31:00.000,organizational unit 65466,project 147620,UNKNOWN,UNDEFINED,
Case 1124,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/08 11:05:41.000,organizational unit 65477,project 147588,UNKNOWN,EMPLOYEE,
Case 1124,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/08 11:07:27.000,organizational unit 65477,project 147588,UNKNOWN,ADMINISTRATION,
Case 1124,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/12 11:29:02.000,organizational unit 65477,project 147588,UNKNOWN,SUPERVISOR,
Case 1124,Request Payment,SYSTEM,2018/01/15 14:21:17.000,organizational unit 65477,project 147588,UNKNOWN,UNDEFINED,
Case 1124,Payment Handled,SYSTEM,2018/01/18 17:31:10.000,organizational unit 65477,project 147588,UNKNOWN,UNDEFINED,
